,,Surviving Humans,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,,Average
Num Zombies,1,0,0,0,0,0,0,0,0,0,0,100,,10
,2,0,0,0,0,0,0,0,0,0,0,100,,10
,3,0,0,0,0,0,0,0,0,0,0,100,,10
,4,0,0,0,0,0,0,0,0,0,0,100,,10
,5,0,0,0,0,0,0,0,0,0,0,100,,10
,6,0,0,0,0,0,0,0,0,0,0,100,,10
,7,0,0,0,0,0,0,0,0,0,0,100,,10
,8,0,0,0,0,0,0,0,0,0,0,100,,10
,9,0,0,0,0,0,0,0,0,0,0,100,,10
,10,0,0,0,0,0,0,0,0,0,0,100,,10
,11,0,0,0,0,0,0,0,0,0,0,100,,10
,12,0,0,0,0,0,0,0,0,0,0,100,,10
,13,0,0,0,0,0,0,0,0,0,0,100,,10
,14,0,0,0,0,0,0,0,0,0,0,100,,10
,15,0,0,0,0,0,0,0,0,0,1,99,,9.99
,16,0,0,0,0,0,0,0,0,0,0,100,,10
,17,0,0,0,0,0,0,0,0,0,0,100,,10
,18,0,0,0,0,0,0,0,0,0,2,98,,9.98
,19,0,0,0,0,0,0,0,0,0,2,98,,9.98
,20,0,0,0,0,0,0,0,0,0,2,98,,9.98
,21,0,0,0,0,0,0,0,0,0,0,100,,10
,22,0,0,0,0,0,0,0,0,0,0,100,,10
,23,0,0,0,0,0,0,0,0,0,4,96,,9.96
,24,0,0,0,0,0,0,0,0,0,3,97,,9.97
,25,0,0,0,0,0,0,0,0,0,4,96,,9.96
,26,0,0,0,0,0,0,0,0,0,8,92,,9.92
,27,0,0,0,0,0,0,0,0,0,6,94,,9.94
,28,0,0,0,0,0,0,0,0,0,4,96,,9.96
,29,0,0,0,0,0,0,0,0,0,3,97,,9.97
,30,0,0,0,0,0,0,0,0,1,7,92,,9.91
,31,0,0,0,0,0,0,0,2,1,7,90,,9.85
,32,0,0,0,0,0,0,0,0,2,6,92,,9.9
,33,0,0,0,0,0,0,0,1,1,6,92,,9.89
,34,0,0,0,0,0,0,0,0,0,13,87,,9.87
,35,0,0,0,0,0,0,0,1,2,13,84,,9.8
,36,0,0,0,0,0,0,0,0,3,20,77,,9.74
,37,0,0,0,0,0,0,1,0,3,16,80,,9.74
,38,0,0,0,0,0,0,0,0,5,24,71,,9.66
,39,0,0,0,0,0,0,0,1,9,18,72,,9.61
,40,0,0,0,2,1,0,2,2,12,22,59,,9.2
,41,0,0,0,0,0,1,3,5,5,20,66,,9.38
,42,0,1,0,0,0,1,0,1,11,27,59,,9.34
